;geoid;cbsacode;short_name
556;14000US34019010300;35620.0;New York
557;14000US34019010400;35620.0;New York
558;14000US34019010500;35620.0;New York
559;14000US34019010600;35620.0;New York
560;14000US34019010701;35620.0;New York
561;14000US34019010702;35620.0;New York
562;14000US34019010801;35620.0;New York
563;14000US34019010802;35620.0;New York
564;14000US34019010900;35620.0;New York
565;14000US34019011001;35620.0;New York
566;14000US34019011002;35620.0;New York
567;14000US34019011100;35620.0;New York
568;14000US34019011201;35620.0;New York
569;14000US34019011202;35620.0;New York
570;14000US34019011301;35620.0;New York
571;14000US34019011302;35620.0;New York
572;14000US34019011303;35620.0;New York
573;14000US34019011304;35620.0;New York
574;14000US34019011400;35620.0;New York
575;14000US34019011500;35620.0;New York
576;14000US34019011600;35620.0;New York
577;14000US34019011700;35620.0;New York
578;14000US34019011800;35620.0;New York
579;14000US34019011900;35620.0;New York
580;14000US34023005800;35620.0;New York
581;14000US34023006001;35620.0;New York
582;14000US34023006002;35620.0;New York
583;14000US34023006101;35620.0;New York
584;14000US34023006103;35620.0;New York
585;14000US34023006104;35620.0;New York
586;14000US34023006203;35620.0;New York
587;14000US34023006204;35620.0;New York
588;14000US34023006205;35620.0;New York
589;14000US34023006206;35620.0;New York
590;14000US34023006207;35620.0;New York
591;14000US34023006300;35620.0;New York
592;14000US34023006403;35620.0;New York
593;14000US34023006500;35620.0;New York
594;14000US34023006601;35620.0;New York
595;14000US34023006604;35620.0;New York
596;14000US34023006605;35620.0;New York
597;14000US34023006606;35620.0;New York
598;14000US34023006607;35620.0;New York
599;14000US34023006608;35620.0;New York
600;14000US34023006701;35620.0;New York
601;14000US34023006703;35620.0;New York
602;14000US34023006800;35620.0;New York
603;14000US34023006900;35620.0;New York
604;14000US34023007000;35620.0;New York
605;14000US34023007101;35620.0;New York
606;14000US34023007102;35620.0;New York
607;14000US34023007103;35620.0;New York
608;14000US34023007202;35620.0;New York
609;14000US34023007203;35620.0;New York
610;14000US34023007301;35620.0;New York
611;14000US34023007303;35620.0;New York
612;14000US34023007304;35620.0;New York
613;14000US34023007402;35620.0;New York
614;14000US34023007500;35620.0;New York
615;14000US34023007600;35620.0;New York
616;14000US34023007702;35620.0;New York
617;14000US34023007703;35620.0;New York
618;14000US34023007704;35620.0;New York
619;14000US34023007801;35620.0;New York
620;14000US34023007804;35620.0;New York
621;14000US34023007805;35620.0;New York
622;14000US34023007806;35620.0;New York
623;14000US34023007905;35620.0;New York
624;14000US34023007906;35620.0;New York
625;14000US34023007907;35620.0;New York
626;14000US34023007908;35620.0;New York
627;14000US34023007909;35620.0;New York
628;14000US34023007910;35620.0;New York
629;14000US34023007911;35620.0;New York
630;14000US34023007912;35620.0;New York
631;14000US34023008001;35620.0;New York
632;14000US34023008101;35620.0;New York
633;14000US34023008102;35620.0;New York
634;14000US34023008103;35620.0;New York
635;14000US34023008202;35620.0;New York
636;14000US34023008204;35620.0;New York
637;14000US34023008205;35620.0;New York
638;14000US34023008206;35620.0;New York
639;14000US34023008208;35620.0;New York
640;14000US34023008209;35620.0;New York
641;14000US34023008300;35620.0;New York
642;14000US34023008403;35620.0;New York
643;14000US34023008404;35620.0;New York
644;14000US34023008405;35620.0;New York
645;14000US34023008406;35620.0;New York
646;14000US34023008501;35620.0;New York
647;14000US34023008502;35620.0;New York
648;14000US34023008503;35620.0;New York
649;14000US34023008504;35620.0;New York
650;14000US34023008601;35620.0;New York
651;14000US34023008602;35620.0;New York
652;14000US34023008604;35620.0;New York
653;14000US34023008605;35620.0;New York
654;14000US34023008606;35620.0;New York
655;14000US34023008700;35620.0;New York
656;14000US34023008800;35620.0;New York
657;14000US34023008900;35620.0;New York
658;14000US34023009000;35620.0;New York
659;14000US34023009100;35620.0;New York
660;14000US34023009200;35620.0;New York
661;14000US34023009300;35620.0;New York
662;14000US34023009400;35620.0;New York
663;14000US34023000100;35620.0;New York
664;14000US34023000200;35620.0;New York
665;14000US34023000300;35620.0;New York
666;14000US34023000401;35620.0;New York
667;14000US34023000403;35620.0;New York
668;14000US34023000404;35620.0;New York
669;14000US34023000501;35620.0;New York
670;14000US34023000502;35620.0;New York
671;14000US34023000603;35620.0;New York
672;14000US34023000606;35620.0;New York
673;14000US34023000608;35620.0;New York
674;14000US34023000701;35620.0;New York
675;14000US34023000702;35620.0;New York
676;14000US34023000801;35620.0;New York
677;14000US34023000802;35620.0;New York
678;14000US34023000901;35620.0;New York
679;14000US34023000902;35620.0;New York
680;14000US34023001001;35620.0;New York
681;14000US34023001002;35620.0;New York
682;14000US34023001100;35620.0;New York
683;14000US34023001200;35620.0;New York
684;14000US34023001300;35620.0;New York
685;14000US34023001409;35620.0;New York
686;14000US34023001410;35620.0;New York
687;14000US34023001411;35620.0;New York
688;14000US34023001412;35620.0;New York
689;14000US34023001413;35620.0;New York
690;14000US34023001414;35620.0;New York
691;14000US34023001415;35620.0;New York
692;14000US34023001416;35620.0;New York
693;14000US34023001417;35620.0;New York
694;14000US34023001502;35620.0;New York
695;14000US34023001504;35620.0;New York
696;14000US34023001505;35620.0;New York
697;14000US34023001506;35620.0;New York
698;14000US34023001600;35620.0;New York
699;14000US34023001701;35620.0;New York
700;14000US34023001702;35620.0;New York
701;14000US34023001803;35620.0;New York
702;14000US34023001804;35620.0;New York
703;14000US34023001805;35620.0;New York
704;14000US34023001901;35620.0;New York
705;14000US34023001902;35620.0;New York
706;14000US34023001903;35620.0;New York
707;14000US34023002000;35620.0;New York
708;14000US34023002101;35620.0;New York
709;14000US34023002102;35620.0;New York
710;14000US34023002200;35620.0;New York
711;14000US34023002301;35620.0;New York
712;14000US34023002302;35620.0;New York
713;14000US34023002401;35620.0;New York
714;14000US34023002402;35620.0;New York
715;14000US34023002500;35620.0;New York
716;14000US34023002603;35620.0;New York
717;14000US34023002604;35620.0;New York
718;14000US34023002605;35620.0;New York
719;14000US34023002701;35620.0;New York
720;14000US34023002703;35620.0;New York
721;14000US34023002805;35620.0;New York
722;14000US34023002901;35620.0;New York
723;14000US34023002902;35620.0;New York
724;14000US34023003001;35620.0;New York
725;14000US34023003002;35620.0;New York
726;14000US34023003101;35620.0;New York
727;14000US34023003102;35620.0;New York
728;14000US34023003201;35620.0;New York
729;14000US34023003203;35620.0;New York
730;14000US34023003300;35620.0;New York
731;14000US34023003401;35620.0;New York
732;14000US34023003500;35620.0;New York
733;14000US34023003600;35620.0;New York
734;14000US34023003700;35620.0;New York
735;14000US34023003800;35620.0;New York
736;14000US34023004000;35620.0;New York
737;14000US34023004100;35620.0;New York
738;14000US34023004200;35620.0;New York
739;14000US34023004300;35620.0;New York
740;14000US34023004400;35620.0;New York
741;14000US34023004500;35620.0;New York
742;14000US34023004600;35620.0;New York
743;14000US34023004700;35620.0;New York
744;14000US34023004800;35620.0;New York
745;14000US34023004900;35620.0;New York
746;14000US34023005000;35620.0;New York
747;14000US34023005100;35620.0;New York
748;14000US34023005200;35620.0;New York
749;14000US34023005300;35620.0;New York
750;14000US34023005500;35620.0;New York
751;14000US34023005601;35620.0;New York
752;14000US34023005602;35620.0;New York
753;14000US34023005700;35620.0;New York
754;14000US34025800100;35620.0;New York
755;14000US34025800200;35620.0;New York
756;14000US34025800400;35620.0;New York
757;14000US34025800500;35620.0;New York
758;14000US34025800601;35620.0;New York
759;14000US34025800602;35620.0;New York
760;14000US34025800701;35620.0;New York
761;14000US34025800702;35620.0;New York
762;14000US34025800800;35620.0;New York
763;14000US34025800900;35620.0;New York
764;14000US34025801000;35620.0;New York
765;14000US34025801100;35620.0;New York
766;14000US34025801200;35620.0;New York
767;14000US34025801300;35620.0;New York
768;14000US34025801400;35620.0;New York
769;14000US34025801500;35620.0;New York
770;14000US34025801600;35620.0;New York
771;14000US34025801700;35620.0;New York
772;14000US34025801800;35620.0;New York
